id	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
5-HT1B	0.14514354277424	0	0.29028708554848	Inf	Inf	1	1
5-HT7	1.16114834219392	0	2.32229668438784	Inf	Inf	0.787222115260902	1
825-Oak	0.14514354277424	0	0.29028708554848	Inf	Inf	1	1
AQP	0.569151913753663	0	1.13830382750733	Inf	Inf	1	1
Ace	1.48458693220942	0	2.96917386441884	Inf	Inf	0.697023501931119	1
Acp26Aa	0.29028708554848	0	0.58057417109696	Inf	Inf	1	1
Acp26Ab	0.14514354277424	0	0.29028708554848	Inf	Inf	1	1
Acp53C14a	0.29028708554848	0	0.58057417109696	Inf	Inf	1	1
Acp53C14b	0.29028708554848	0	0.58057417109696	Inf	Inf	1	1
Acp62F	0.814865237491829	0	1.62973047498366	Inf	Inf	0.935734073259095	1
Acp63F	1.16114834219392	0	2.32229668438784	Inf	Inf	0.787222115260902	1
Acp70A	1.81944777956821	0	3.63889555913643	Inf	Inf	0.598882118936787	1
Acyp	0.14514354277424	0	0.29028708554848	Inf	Inf	1	1
Amy-p	24.8529669005766	0	49.7059338011533	Inf	Inf	0.248066710061892	1
Ance-3	1.30629188496816	0	2.61258376993632	Inf	Inf	0.735827032369089	1
Anp	0.29028708554848	0	0.58057417109696	Inf	Inf	1	1
Arr2	0.29028708554848	0	0.58057417109696	Inf	Inf	1	1
BBS4	0.14514354277424	0	0.29028708554848	Inf	Inf	1	1
CCHa1	0.29028708554848	0	0.58057417109696	Inf	Inf	1	1
CCKLR-17D1	0.14514354277424	0	0.29028708554848	Inf	Inf	1	1
CCKLR-17D3	0.334860847358795	0	0.669721694717589	Inf	Inf	1	1
CG10000	0.14514354277424	0	0.29028708554848	Inf	Inf	1	1
CG10026	2.24345615054764	0	4.48691230109527	Inf	Inf	0.50036830976363	1
CG10031	0.43543062832272	0	0.870861256645441	Inf	Inf	1	1
CG10140	0.14514354277424	0	0.29028708554848	Inf	Inf	1	1
CG10164	0.14514354277424	0	0.29028708554848	Inf	Inf	1	1
CG10186	0.569151913753663	0	1.13830382750733	Inf	Inf	1	1
CG10202	0.29028708554848	0	0.58057417109696	Inf	Inf	1	1
CG10300	0.189717304584554	0	0.379434609169109	Inf	Inf	1	1
CG10332	0.43543062832272	0	0.870861256645441	Inf	Inf	1	1
CG10357	0.58057417109696	0	1.16114834219392	Inf	Inf	1	1
CG10362	0.29028708554848	0	0.58057417109696	Inf	Inf	1	1
CG10588	0.725717713871201	0	1.4514354277424	Inf	Inf	0.958089921113017	1
CG10597	0.43543062832272	0	0.870861256645441	Inf	Inf	1	1
CG10625	1.4514354277424	0	2.9028708554848	Inf	Inf	0.687392963469767	1
CG10749	0.189717304584554	0	0.379434609169109	Inf	Inf	1	1
CG10801	1.00458254207638	0	2.00916508415277	Inf	Inf	0.865731538286441	1
CG10804	1.59657897051664	0	3.19315794103328	Inf	Inf	0.641882991680506	1
CG10858	0.14514354277424	0	0.29028708554848	Inf	Inf	1	1
CG10920	0.14514354277424	0	0.29028708554848	Inf	Inf	1	1
CG10943	0.189717304584554	0	0.379434609169109	Inf	Inf	1	1
CG10950	0.524578151943349	0	1.0491563038867	Inf	Inf	1	1
CG11037	0.43543062832272	0	0.870861256645441	Inf	Inf	1	1
CG11044	1.4514354277424	0	2.9028708554848	Inf	Inf	0.687392963469767	1
CG11162	0.189717304584554	0	0.379434609169109	Inf	Inf	1	1
CG11269	0.43543062832272	0	0.870861256645441	Inf	Inf	1	1
CG11294	0.14514354277424	0	0.29028708554848	Inf	Inf	1	1
CG11300	0.725717713871201	0	1.4514354277424	Inf	Inf	0.958089921113017	1
CG11333	0.58057417109696	0	1.16114834219392	Inf	Inf	1	1
CG11369	0.14514354277424	0	0.29028708554848	Inf	Inf	1	1
CG1138	0.14514354277424	0	0.29028708554848	Inf	Inf	1	1
CG1139	0.758869218338218	0	1.51773843667644	Inf	Inf	0.977128278558842	1
CG1143	2.03200959883936	0	4.06401919767872	Inf	Inf	0.521930624662997	1
CG11470	0.29028708554848	0	0.58057417109696	Inf	Inf	1	1
CG11598	0.334860847358795	0	0.669721694717589	Inf	Inf	1	1
CG11698	0.58057417109696	0	1.16114834219392	Inf	Inf	1	1
CG11741	0.29028708554848	0	0.58057417109696	Inf	Inf	1	1
CG11841	0.14514354277424	0	0.29028708554848	Inf	Inf	1	1
CG11854	0.14514354277424	0	0.29028708554848	Inf	Inf	1	1
CG11905	0.29028708554848	0	0.58057417109696	Inf	Inf	1	1
CG11951	0.189717304584554	0	0.379434609169109	Inf	Inf	1	1
CG12017	0.43543062832272	0	0.870861256645441	Inf	Inf	1	1
CG12035	0.189717304584554	0	0.379434609169109	Inf	Inf	1	1
CG12069	0.870861256645441	0	1.74172251329088	Inf	Inf	0.8986164075894	1
CG12078	1.4514354277424	0	2.9028708554848	Inf	Inf	0.687392963469767	1
CG12184	0.379434609169109	0	0.758869218338218	Inf	Inf	1	1
CG12278	0.29028708554848	0	0.58057417109696	Inf	Inf	1	1
CG12347	0.189717304584554	0	0.379434609169109	Inf	Inf	1	1
CG12477	1.16114834219392	0	2.32229668438784	Inf	Inf	0.787222115260902	1
CG12483	0.58057417109696	0	1.16114834219392	Inf	Inf	1	1
CG12490	0.14514354277424	0	0.29028708554848	Inf	Inf	1	1
CG12496	0.14514354277424	0	0.29028708554848	Inf	Inf	1	1
CG12516	0.14514354277424	0	0.29028708554848	Inf	Inf	1	1
CG12539	1.30629188496816	0	2.61258376993632	Inf	Inf	0.735827032369089	1
CG12590	0.14514354277424	0	0.29028708554848	Inf	Inf	1	1
CG12645	1.16114834219392	0	2.32229668438784	Inf	Inf	0.787222115260902	1
CG12682	0.14514354277424	0	0.29028708554848	Inf	Inf	1	1
CG12768	0.29028708554848	0	0.58057417109696	Inf	Inf	1	1
CG12836	0.43543062832272	0	0.870861256645441	Inf	Inf	1	1
CG12898	0.29028708554848	0	0.58057417109696	Inf	Inf	1	1
CG12912	0.14514354277424	0	0.29028708554848	Inf	Inf	1	1
CG12951	0.43543062832272	0	0.870861256645441	Inf	Inf	1	1
CG12974	0.524578151943349	0	1.0491563038867	Inf	Inf	1	1
CG12985	0.29028708554848	0	0.58057417109696	Inf	Inf	1	1
CG13003	0.725717713871201	0	1.4514354277424	Inf	Inf	0.958089921113017	1
CG13008	0.58057417109696	0	1.16114834219392	Inf	Inf	1	1
CG13010	0.189717304584554	0	0.379434609169109	Inf	Inf	1	1
CG13021	0.379434609169109	0	0.758869218338218	Inf	Inf	1	1
CG13023	0.14514354277424	0	0.29028708554848	Inf	Inf	1	1
CG13032	0.14514354277424	0	0.29028708554848	Inf	Inf	1	1
CG13043	0.43543062832272	0	0.870861256645441	Inf	Inf	1	1
CG13062	0.29028708554848	0	0.58057417109696	Inf	Inf	1	1
CG13077	0.29028708554848	0	0.58057417109696	Inf	Inf	1	1
CG13078	0.569151913753663	0	1.13830382750733	Inf	Inf	1	1
CG13082	0.480004390133035	0	0.960008780266069	Inf	Inf	1	1
CG13086	0.29028708554848	0	0.58057417109696	Inf	Inf	1	1
CG13130	1.16114834219392	0	2.32229668438784	Inf	Inf	0.787222115260902	1
CG13131	0.14514354277424	0	0.29028708554848	Inf	Inf	1	1
CG13133	0.870861256645441	0	1.74172251329088	Inf	Inf	0.8986164075894	1
CG13154	0.14514354277424	0	0.29028708554848	Inf	Inf	1	1
CG13171	1.13830382750733	0	2.27660765501465	Inf	Inf	0.835476372154216	1
CG13196	0.43543062832272	0	0.870861256645441	Inf	Inf	1	1
CG13223	0.58057417109696	0	1.16114834219392	Inf	Inf	1	1
CG13226	0.725717713871201	0	1.4514354277424	Inf	Inf	0.958089921113017	1
CG1324	0.14514354277424	0	0.29028708554848	Inf	Inf	1	1
CG13287	0.725717713871201	0	1.4514354277424	Inf	Inf	0.958089921113017	1
CG13296	0.29028708554848	0	0.58057417109696	Inf	Inf	1	1
CG13306	0.334860847358795	0	0.669721694717589	Inf	Inf	1	1
CG13312	0.43543062832272	0	0.870861256645441	Inf	Inf	1	1
CG13314	0.569151913753663	0	1.13830382750733	Inf	Inf	1	1
CG13318	0.29028708554848	0	0.58057417109696	Inf	Inf	1	1
CG13325	0.14514354277424	0	0.29028708554848	Inf	Inf	1	1
CG13326	0.14514354277424	0	0.29028708554848	Inf	Inf	1	1
CG13332	1.66288197945068	0	3.32576395890135	Inf	Inf	0.66195968392532	1
CG13359	0.58057417109696	0	1.16114834219392	Inf	Inf	1	1
CG13385	0.43543062832272	0	0.870861256645441	Inf	Inf	1	1
CG13422	0.870861256645441	0	1.74172251329088	Inf	Inf	0.8986164075894	1
CG13423	0.14514354277424	0	0.29028708554848	Inf	Inf	1	1
CG13426	0.29028708554848	0	0.58057417109696	Inf	Inf	1	1
CG13457	0.870861256645441	0	1.74172251329088	Inf	Inf	0.8986164075894	1
CG13476	1.32802113209188	0	2.65604226418376	Inf	Inf	0.770544826245632	1
CG13494	0.29028708554848	0	0.58057417109696	Inf	Inf	1	1
CG13500	0.14514354277424	0	0.29028708554848	Inf	Inf	1	1
CG13510	1.30629188496816	0	2.61258376993632	Inf	Inf	0.735827032369089	1
CG13511	0.58057417109696	0	1.16114834219392	Inf	Inf	1	1
CG13526	0.14514354277424	0	0.29028708554848	Inf	Inf	1	1
CG13527	0.14514354277424	0	0.29028708554848	Inf	Inf	1	1
CG13539	0.14514354277424	0	0.29028708554848	Inf	Inf	1	1
CG13541	0.14514354277424	0	0.29028708554848	Inf	Inf	1	1
CG13566	0.524578151943349	0	1.0491563038867	Inf	Inf	1	1
CG13581	0.43543062832272	0	0.870861256645441	Inf	Inf	1	1
CG13618	0.524578151943349	0	1.0491563038867	Inf	Inf	1	1
CG13634	1.14972608485062	0	2.29945216970125	Inf	Inf	0.80947323732537	1
CG13646	0.14514354277424	0	0.29028708554848	Inf	Inf	1	1
CG1368	0.14514354277424	0	0.29028708554848	Inf	Inf	1	1
