Gene	cont_rep1	cont_rep2	treat_rep1	treat_rep1
128up	1742	1675	1603	312
14-3-3epsilon	5164	5478	5885	940
14-3-3zeta	250	575	481	129
140up	223	282	219	54
18w	27	25	65	13
26-29-p	9634	9026	10666	1750
2mit	0	0	4	0
312	123	264	230	66
4EHP	52	50	70	10
5-HT1A	2	0	7	0
5-HT1B	1	0	0	0
5-HT2	2	9	3	6
5-HT7	8	0	0	0
5.8SrRNA	0	0	12	0
5PtaseI	21	40	66	2
7B2	1	0	1	0
7SLRNA	3	1301	9	365
825-Oak	1	0	0	0
A16	426	449	375	65
A2bp1	137	9	96	12
ABCB7	192	236	262	20
ACC	173	234	394	72
ACXA	0	0	0	0
ACXB	0	0	4	0
ACXC	0	0	0	0
ACXD	0	0	9	0
ACXE	1	0	1	0
AGO1	409	131	452	66
AGO2	73	127	119	26
AGO3	1910	948	1966	298
AIF	677	514	573	45
ALiX	1293	724	1191	156
AP-1gamma	934	428	877	55
AP-1sigma	408	504	272	98
AP-2	0	0	1	0
AP-2sigma	802	968	687	215
AP-47	1036	874	1092	144
AP-50	3334	1608	2319	345
APC4	849	354	592	75
APP-BP1	280	400	252	79
AQP	0	3	0	0
AR-2	0	0	2	0
ARY	0	0	0	0
ASPP	2	0	25	4
ATP7	1102	417	725	36
ATPCL	1328	841	2051	119
ATPsyn-Cf6	186	266	271	75
ATPsyn-b	5652	2337	4226	612
ATPsyn-beta	10570	9917	7994	1818
ATPsyn-d	327	201	380	24
ATPsyn-gamma	3034	1766	2947	328
ATbp	69	19	80	3
Aac11	123	72	247	30
Aats-ala	3364	1001	2874	187
Aats-ala-m	458	321	472	49
Aats-arg	95	144	125	19
Aats-asn	1767	1232	1402	227
Aats-asp	952	1248	848	212
Aats-cys	1074	656	1104	114
Aats-gln	1468	590	1354	93
Aats-glupro	82	80	170	31
Aats-gly	180	284	413	28
Aats-his	3559	1847	2612	488
Aats-ile	223	418	316	75
Aats-leu	499	466	450	62
Aats-lys	663	534	1039	81
Aats-met	724	331	515	53
Aats-phe	443	323	291	45
Aats-pro	244	293	196	29
